source,target,label
travel registered nurse,travel nurse,PT
senior qa engineer,senior quality assurance engineer,PT
head of communication,head of communications,PT
head of english,head of english department,PT
government,civil servant,PT
design trainee,design internship,PT
loan assistant,loan clerk,PT
sales and service associate,sales service representative,PT
qa test engineer,quality assurance test engineer,PT
nutritional consultant,nutrition consultant,PT
search engine optimization expert,search engine optimization specialist,PT
human resources summer intern,human resources intern,PT
human resources training,human resources trainer,PT
marketing communications,marketing communications specialist,PT
assistant internship,intern assistant,PT
lead trainer,lead instructor,PT
administration department,department administrator,PT
senior manager purchase,senior purchasing manager,PT
chief accountant,head accountant,PT
crossfit trainer,crossfit instructor,PT
head of technology,head of information technology,PT
human resources development specialist,human resources development specialist,PT
business delivery manager,business project manager,PT
payroll assistant,payroll clerk,PT
vp of software,vice president software,PT
physical trainer,personal trainer,PT
risk management analyst,risk analyst,PT
clerical office worker,office associate,PT
interim financial manager,interim finance manager,PT
car mechanic,automotive mechanic,PT
banquet waitress,banquet server,PT
software qa lead,software quality assurance lead,PT
occupational health and safety officer,health and safety officer,PT
qc lead,quality control lead,PT
senior qa engineer lead,senior quality assurance engineer lead,PT
qa system manager,quality assurance system manager,PT
home loan,home loan specialist,PT
business trainee,business intern,PT
support staff,support associate,PT
financial administrator,finance administrator,PT
qa laboratory technician,quality assurance laboratory technician,PT
building materials salesperson,hardware sales associate,PT
pharmaceutical sales specialist,pharmaceutical sales,PT
phd researcher,doctoral researcher,PT
lead e&i engineer,lead electrical and instrumentation engineer,PT
draftsperson,drafter,PT
technical employee,technical associate,PT
sales project management,sales project manager,PT
district services manager,district service manager,PT
erp project manager,enterprise resources planning project manager,PT
client service supervisor,client services supervisor,PT
consulting assistant,assistant consultant,PT
.net developer,dotnet developer,PT
patient care director,director of patient services,PT
team lead manager,manager,PT
regional quality manager,regional quality assurance manager,PT
onsite medical representative,emergency medical technician,PT
information technology incharge,information technology supervisor,PT
java developer,java software engineer,PT
member services representative,member service representative,PT
pizza cook,pizza maker,PT
concession manager,concessions manager,PT
service director,director of services,PT
it support specialist,information technology support specialist,PT
assistant quality manager,assistant quality assurance manager,PT
occupational health and safety consultant,health and safety consultant,PT
java contractor,java developer contract,PT
squad leader,team lead,PT
marketing agent,marketing representative,PT
operational planner,operations planner,PT
ux researcher,user experience researcher,PT
shop worker,shop employee,PT
aml specialist,anti-money laundering specialist,PT
design lead,lead designer,PT
affiliate faculty,affiliate professor,PT
qa auditor,quality assurance auditor,PT
servicing manager,service manager,PT
technical agent,technical representative,PT
sales management trainee,sales management intern,PT
employer,owner,PT
project development manager,project manager,PT
aesthetician,esthetician,PT
business analyst qa,business analyst quality assurance,PT
qa operations manager,quality assurance operations manager,PT
aml consultant,anti-money laundering consultant,PT
project coordinator contract,project manager contract,PT
collection agent,collections representative,PT
audio video technician,audio visual technician,PT
design drafter,design draftsman,PT
director qa regulatory affairs,director quality assurance regulatory affairs,PT
research scientist,researcher,PT
investment professional,investment specialist,PT
contract trainer,contract instructor,PT
on premise sales representative,premise sales representative,PT
iot director,director of internet of things,PT
communication specialist,communications specialist,PT
assistance manager,support manager,PT
store clerk,store assistant,PT
iot engineer,internet of things engineer,PT
senior technical staff,senior technical specialist,PT
visiting research scholar,visiting researcher,PT
head of corporate communication,head of corporate communications,PT
sales application specialist,application sales specialist,PT
strategic relations manager,strategic relationship manager,PT
principal software qa engineer,principal software quality assurance engineer,PT
devops director,director of devops,PT
mathematics faculty,professor of mathematics,PT
joint ceo,joint chief executive officer,PT
headhunter,recruiter,PT
human resources internship,human resources intern,PT
customer service sales associate,customer service sales representative,PT
qa assistant,quality assurance assistant,PT
computer vision developer,computer vision engineer,PT
senior java developer,senior java software engineer,PT
esol instructor,english second language instructor,PT
national project coordinator,national project manager,PT
gymnastic instructor,gymnastics instructor,PT
aml investigator,anti-money laundering investigator,PT
sales staff,salesperson,PT
services clerk,service assistant,PT
workforce development,workforce development specialist,PT
pre-k teacher,pre kindergarten teacher,PT
senior computer programmer,senior software engineer,PT
maintainer,technician,PT
point of sale associate,cashier,PT
lead programmer,lead software engineer,PT
medical insurance coder,medical coder,PT
records and information manager,records information manager,PT
software programmer,software engineer,PT
cx manager,customer experience manager,PT
customer support agent,customer support representative,PT
executive board,executive board member,PT
mortgage professional,mortgage specialist,PT
corporate training,corporate trainer,PT
associate director qa,associate director quality assurance,PT
car sales consultant,car salesperson,PT
cmm programmer,coordinate measuring machine programmer,PT
ran engineer,radio access network engineer,PT
corporate office manager,office manager,PT
waitress,food server,PT
director finance development,director financial development,PT
retail salesworker,retail specialist,PT
chief communications officer (cco),chief communications officer,PT
customer care,customer care professional,PT
kitchen work supervisor,kitchen supervisor,PT
unity3d developer,unity developer,PT
chief technician,head technician,PT
letting agent,real estate rental agent,PT
qc analyst,quality control analyst,PT
java software developer,java software engineer,PT
qc laboratory manager,quality control laboratory manager,PT
business inteliigence analyst,business intelligence analyst,PT
learning consultant,learning and development consultant,PT
engineering college,engineering student,PT
regional education manager,regional training manager,PT
business finance consultant,financial business consultant,PT
head of ux,head of user experience,PT
senior system engineering,senior system engineer,PT
self employee,self employed,PT
supplier qa,supplier quality assurance,PT
customer care center manager,customer service center manager,PT
summer research fellow,summer researcher,PT
merchandising team lead,merchandise team lead,PT
professional instructor,professional trainer,PT
communications trainee,communication trainee,PT
qc operator,quality control operator,PT
fp&a intern,financial planning and analysis intern,PT
financial service advisor,financial advisor,PT
general pediatrician,pediatrician,PT
forex dealer,foreign exchange dealer,PT
sales internship,sales intern,PT
technical support qa,technical support quality assurance,PT
guest service associate,guest services associate,PT
development worker,development associate,PT
lead software developer,lead software engineer,PT
head public relations department,head of public relations,PT
vice president qa,vice president quality assurance,PT
qa regulatory affairs manager,quality assurance regulatory affairs manager,PT
ux design specialist,user experience design specialist,PT
bdc manager,business development center manager,PT
vp of technology,vice president of technology,PT
graphic web design,graphic web designer,PT
senior manager training development,senior training manager,PT
qa trainee,quality assurance intern,PT
production service manager,production services manager,PT
collections assistant,collections clerk,PT
senior customer service agent,senior customer service representative,PT
board,board member,PT
quality assurance quality control,quality assurance specialist,PT
senior evaluator,senior estimator,PT
chairman assistant,assistant to the chairman,PT
ecm consultant,enterprise content management consultant,PT
community organizer,community coordinator,PT
leasing representative,leasing agent,PT
communication department,department communications specialist,PT
talent attraction manager,talent acquisition manager,PT
product qa manager,product quality assurance manager,PT
senior iot engineer,senior internet of things engineer,PT
account executive,accounts exctive,NPT
supervisor,supervixsor,NPT
assistant manager,assitent managr,NPT
secretary,secarery,NPT
secretary,szcretary,NPT
freelance,freelancet,NPT
employee,emplypee,NPT
communications specialist,commiunication,NPT
product management specialist,product management,NPT
ambassador,ambassardor,NPT
senior director human resources,director human resources senior,NPT
information technology contractor,information technology contractor,NPT
information technology sales specialist,information technology sales,NPT
sales marketing support,marketing sales support,NPT
banquet,banquetd,NPT
toxicologist,toyologist,NPT
general store manager,general manager store,NPT
senior test manager,manager senior test,NPT
technical system manager,"manager, technical system",NPT
business market manager,"manager, business market",NPT
alliances marketing manager,"manager, alliances marketing",NPT
environmental health specialist,environmental health,NPT
curator of education,education curator,NPT
assistant professor of communication,assistant professor communication,NPT
flash flex developer,developer flash flex,NPT
telecommunications expert,expert telecommunications,NPT
management committee member,committee management member,NPT
new account specialist,new acccounts,NPT
special finance manager,finance manager special,NPT
foreign trade specialist,foreign trade sales,NPT
consulting information technology architect,advisory architect information technology,NPT
deputy country manager,country deputy manager,NPT
information technology business relationship manager,information technology business relationship manager,NPT
triage nurse,triage rn,NPT
sales specialist,sale,NPT
office manager,ofc mgr,NPT
secretary,secrectay,NPT
secretary,secrrtary,NPT
retired,retire,NPT
superintendent,supeeintendent,NPT
superintendent,superintencdent,NPT
solicitor,solicetor,NPT
salesperson,selsperson,NPT
purchaser,purhcaser,NPT
audio specialist,audio,NPT
ambassador,ambassor,NPT
certified nursing assistant,certified nursing assistant,NPT
medical doctor,phyisican,NPT
reservations specialist,reservations,NPT
legal director,director legal,NPT
hair specialist,hair,NPT
scholarship,shocarship,NPT
assistant to the dean,assistant to dean,NPT
business affairs specialist,business affairs,NPT
executive assistant to senior vice president,assistant executive president senior to vice,NPT
call center director,callcenter director,NPT
software test manager,manager software test,NPT
student teaching assistant,assistant student teaching,NPT
teaching research specialist,research teaching,NPT
registered sales assistant,assistant registered sales,NPT
data network manager,data manager network,NPT
quality assurance test analyst,quality assurance test analyst,NPT
regional logistics manager,logistics manager regional,NPT
director of corporate training,corporate director training,NPT
senior developer project lead,developer lead project senior,NPT
community services manager,"manager, community services",NPT
business information consultant,business consultant information,NPT
interactive services manager,interactive manager services,NPT
international travel consultant,consultant international travel,NPT
financial application specialist,financial application,NPT
senior travel counselor,counselor senior travel,NPT
senior manager project finance,finance manager project senior,NPT
property asset manager,asset manager property,NPT
health visitor,rn maternal/child health,NPT
"wound, ostomy, and continence nurse",wound & ostomy nurse,NPT
trauma intensive care nurse,trauma intensive care unit nurse,NPT
fertility nurse coordinator,in vitro fertilization nurse coordinator,NPT
long-term care nurse,long term care nurse,NPT
teacher,schoolmistress,NPT
program manager,management manager office program program,NPT
supervisor,seurevisor,NPT
supervisor,suprvisr,NPT
student,holder scholarship,NPT
employee,emp,NPT
marketing executive,markting exicutiv,NPT
superintendent,superintentdant,NPT
salesperson,saleslerson,NPT
self employed,self businesses,NPT
police officer,policewomen,NPT
purchaser,purchqser,NPT
communications officer,communications officer,NPT
vice president of product development,vp product development,NPT
medical doctor,physision,NPT
supply chain consultant,chain consultant supply,NPT
homemaker,mommy,NPT
advertising sales manager,advertisement manager sales,NPT
telesales specialist,teleseles,NPT
child care specialist,childcae,NPT
civil servant,grovernment,NPT
hairdresser,haedresser,NPT
senior key account manager,account key manager senior,NPT
priest,pureist,NPT
director of annual giving,"director, annual giving",NPT
troubleshooter,troublershooter,NPT
application project manager,project manager application development,NPT
geographic information systems engineer,engineer geographic information system,NPT
document control specialist,control document specialist,NPT
clinical liaison,clinicial liasion,NPT
valuer,valuyer,NPT
senior communications advisor,advisor communication senior,NPT
abstractor,abtractor,NPT
vice president retail sales,president retail sales vice,NPT
director of brand management,director brand management,NPT
human resources safety manager,"manager, human resources safety",NPT
director supply management,director management supply,NPT
english second language tutor,esol tutors,NPT
vice president publicity,president publicity vice,NPT
director of surveillance,surveillance director,NPT
resources deployment manager,deployment manager resources,NPT
senior business intelligence architect,architect business intelligence senior,NPT
director of planning and allocation,director planning allocation,NPT
head of web development,head web development,NPT
talent acquisition lead,acquisition lead talent,NPT
records information manager,"manager, records information",NPT
sales product development manager,development manager product sales,NPT
assistant food service director,assistant director food service,NPT
human resources staffing coordinator,human resources staffing coordinator,NPT
desktop support officer,desktop officer support,NPT
director clinical engineering,clinical director engineering,NPT
biological engineering specialist,biological engineering,NPT
account executive,accound exeuctive,NPT
secretary,sectratry,NPT
communications specialist,comminication,NPT
head of department,haed of department,NPT
professional,profrssional,NPT
driver,driving job,NPT
superintendent,superintendwnt,NPT
help desk specialist,hepldesk,NPT
distribution manager,manager distribution,NPT
certified nursing assistant,certified nurse's aid,NPT
information technology supervisor,information technology incharge,NPT
medical doctor,chief physician,NPT
architectural specialist,architetural,NPT
computer aided design technician,cadd techinician,NPT
strategic account director,account director strategic,NPT
application support manager,"manager, application support",NPT
subcontractor,subconbtractor,NPT
telesales specialist,tellesale,NPT
director of government relations,"director, government relations",NPT
insurance advisor,insureance advoizer,NPT
radiologic technologist,rad tech,NPT
internal communication specialist,communication internal specialist,NPT
director of marketing and promotions,director marketing promotions,NPT
interactive marketing manager,interactive manager marketing,NPT
lead mechanical engineer,engineer lead mechanical,NPT
interactive art director,art director interactive,NPT
patient services specialist,patient services,NPT
product business development manager,business development manager product,NPT
clinical program manager,"manager, clinical program",NPT
director of housekeeping,director housekeeping,NPT
head of business planning,head business planning,NPT
senior unix engineer,engineer senior unix,NPT
director of process engineering,director engineering process,NPT
director of patient services,care director patient services,NPT
litigation support manager,litigation manager support,NPT
intensive care nurse,icu registered nurse,NPT
online business manager,business manager online,NPT
manufacturing technology manager,manager manufacturing technology,NPT
vice president finance information technology,finance information president technology vice,NPT
director marketing information technology,director information marketing technology,NPT
senior district executive,district executive senior,NPT
director of music ministry,music ministry director,NPT
student services specialist,services student,NPT
special assistant to chief executive officer,chief executive officer special assistant,NPT
system engineering supervisor,engineering supervisor system,NPT
logistics administration manager,administration logistics manager,NPT
sourcing production manager,"manager, sourcing production",NPT
medical surgical nurse,med-surg registered nurse,NPT
postpartum nurse,postpartum unit bsn,NPT
tiler,tile fitter,NPT
heating ventilation air conditioning supervisor,hvac supervisor,NPT
supervisor,supervisary,NPT
supervisor,supervizion,NPT
secretary,secrartry,NPT
advisor,advaisor,NPT
employee,empleyee,NPT
management,mangerment,NPT
co-owner,coonwer,NPT
professional,profeissional,NPT
media specialist,media,NPT
vice president human resources,"vice president, people",NPT
solicitor,solifcitor,NPT
boss,crime lord,NPT
collections specialist,colllections,NPT
teaching specialist,teacfhing,NPT
animation specialist,anaimation,NPT
mediator,mediátor,NPT
learning and development manager,manager learning and development,NPT
director corporate marketing,corporate director marketing,NPT
radio frequency manager,rf manager,NPT
real estate advisor,advisor estate real,NPT
client business manager,business client manager,NPT
rewards manager,"manager, rewards",NPT
sap financial accounting consultant,sap financial accounting consultant,NPT
director of field marketing,"director, field marketing",NPT
human resources team lead,human lead resources team,NPT
senior information manager,information manager senior,NPT
deputy attorney general,attorney deputy general,NPT
information technology portfolio manager,information technology portfolio manager,NPT
head of back office,back office head,NPT
shipping receiving clerk,shippinh reaciving  clark,NPT
director of reservations,"director, reservations",NPT
market operations manager,manager market operations,NPT
hardware system engineer,engineer hardware system,NPT
loss control manager,"manager, loss control",NPT
assistant studio manager,assistant manager studio,NPT
new product introduction program manager,new product introduction program manager,NPT
assistant part manager,assistant manager part,NPT
clinical research nurse,research nurse,NPT
consulting information technology specialist,consulting information technology specialist,NPT
design engineering intern,design engineering co-op,NPT
lead technical director,director lead technical,NPT
assistant project officer,assistant officer project,NPT
respiratory care practitioner,care practitioner respiratory,NPT
director of administrative operations,"director, administrative operations",NPT
senior public relations executive,senior pr executive,NPT
country information technology manager,country information technology manager,NPT
senior director national account,account director national senior,NPT
deputy commercial director,commercial deputy director,NPT
quality assurance compliance specialist,quality assurance compliance specialist,NPT
marriage and family therapy intern,marriage family therapy intern,NPT
women's health nurse practitioner,women's health care nurse practitioner,NPT
scaffolding supervisor,scaffold foreman,NPT
supervisor,supervilor,NPT
secretary,secirtry,NPT
communications specialist,communation,NPT
member of technical staff,member technical staff,NPT
graphic web designer,designer graphic web,NPT
administrative secretary,administrativni sekretar,NPT
medical doctor,physcain,NPT
medical doctor,physsician,NPT
compensation manager,"manager, compensation",NPT
product support manager,"manager, product support",NPT
bank manager,"manager, bank",NPT
customer operations specialist,customer operations,NPT
delivery driver,flex driver,NPT
telesales specialist,telesalce,NPT
director of corporate sales,corporate director sales,NPT
civil servant,goverment empolyee,NPT
desktop manager,"manager, desktop",NPT
director of brand marketing,director brand marketing,NPT
bank director,director bank,NPT
advertising sales director,advertising director sales,NPT
business development account manager,account business development manager,NPT
sales administrative manager,administrative manager sales,NPT
revenue assurance manager,"manager, revenue assurance",NPT
executive sales consultant,consultant executive sales,NPT
people development manager,"manager, people development",NPT
behavior analyst,bcba,NPT
information technology infrastructure engineer,engineer information infrastructure technology,NPT
head of equity research,equity head research,NPT
principal software quality assurance engineer,principal software qa engineer,NPT
bank employee,bannking,NPT
radio frequency planning engineer,radio frequency planning engineer,NPT
assistant professor of psychiatry,assistant professor psychiatry,NPT
past board member,board member past,NPT
3d graphic artist,3d artist graphic,NPT
back office employee,bacoffice,NPT
regional implementation manager,implementation manager regional,NPT
software quality assurance intern,software quality assurance co-op,NPT
security software engineer,engineer security software,NPT
medical science manager,"manager, medical science",NPT
academic program manager,academic manager program,NPT
director corporate procurement,corporate director procurement,NPT
head of upper school,upper school head,NPT
senior research development specialist,development research senior specialist,NPT
hospice licensed practical nurse,hospice licensed vocational nurse,NPT
orthopedic nurse,orthopedic bsn,NPT
supervisor,supervriser,NPT
registered nurse,support nurse,NPT
member,memeberr,NPT
employee,empolyoeee,NPT
professional,professoinal,NPT
data analyst,data anyalst,NPT
planning manager,"manager, planning",NPT
nurse practitioner,np,NPT
marketer,markertar,NPT
delegate,deldgate,NPT
field marketing manager,field manager marketing,NPT
international product manager,"manager, international product",NPT
marketing communications intern,communications intern marketing,NPT
biostatistician,biostatisticinan,NPT
education department specialist,education department,NPT
technology services manager,"manager, technology services",NPT
corporate relations manager,manager corporate relations,NPT
customer support executive,customer executive support,NPT
loan coordinator,loan corridnator,NPT
software support manager,"manager, software support",NPT
network security analyst,analyst network security,NPT
general assignment reporter,assignment general reporter,NPT
quality assurance test manager,qa test manager,NPT
script writer,scerptwriter,NPT
information technology network administrator,it network administrator,NPT
section engineer,sectional engieer,NPT
quality team lead,lead quality team,NPT
director of fund development,director fund development,NPT
product application manager,"manager, product application",NPT
international account executive,account executive international,NPT
assistant director of sales marketing,assistant director sales marketing,NPT
head of special projects,head special project,NPT
head of network operations,head network operations,NPT
associate technical consultant,associate consultant technical,NPT
international marketing consultant,consultant international marketing,NPT
middle school director,director middle school,NPT
sap implementation manager,"manager, sap implementation",NPT
information technology system coordinator,coordinator information system technology,NPT
special assistant to chief executive officer,assistant chief executive officer special to,NPT
monitoring and evaluation specialist,monitoring evaluation specialist,NPT
junior key account manager,account junior key manager,NPT
regional staffing manager,manager regional staffing,NPT
franchise business manager,business franchise manager,NPT
software implementation specialist,implementation software specialist,NPT
director information technology application development,application development director information technology,NPT
radiology nurse,radiologic nurse,NPT
diabetes clinical nurse specialist,diabetes cns,NPT
postpartum nurse,couplet care registered nurse,NPT
prn nurse,prn rn,NPT
account executive,acoount executitive,NPT
supervisor,suerviosr,NPT
supervisor,superrvisore,NPT
supervisor,supevsior,NPT
member,memvber,NPT
assistant professor,assiatent prefessor,NPT
employee,employeef,NPT
management,manegemnt,NPT
management,manegerment,NPT
communications manager,manager communication,NPT
superintendent,supoerintendent,NPT
salesperson,snalesman,NPT
help desk specialist,halpdask,NPT
scheduler,schaduler,NPT
real estate broker,broker/realtor,NPT
marketer,marrketer,NPT
life coach,life coaching,NPT
global account director,account director global,NPT
conductor,conducotr,NPT
vice president of lending,"vice president, lending",NPT
child care specialist,childcear,NPT
information technology support technician,information support technician technology,NPT
communicator,commincator,NPT
deputy general counsel,counsel deputy general,NPT
customer experience manager,manager customer experience,NPT
network planning manager,manager network planning,NPT
head of accounting,accounting head,NPT
assistant quality assurance manager,assistant assurance manager quality,NPT
constructor,constrktor,NPT
executive assistant secretary,assistant executive secretary,NPT
executive office manager,executive manager office,NPT
accounting human resources manager,accounting human manager resources,NPT
community development coordinator,community coordinator development,NPT
digital marketing director,director digital marketing,NPT
materials program manager,"manager, materials program",NPT
director partnerships marketing,director marketing partnerships,NPT
title manager,"manager, title",NPT
export sales assistant,assistant export sales,NPT
director of creative development,"director, creative development",NPT
director of research and evaluation,director evaluation research,NPT
endodontist,exodontist,NPT
senior vice president operations technology,operations president senior technology vice,NPT
elementary education teacher,education elementary teacher,NPT
sales marketing advisor,advisor marketing sales,NPT
interactive design director,design director interactive,NPT
fire protection specialist,fire protection,NPT
onsite project manager,manager onsite project,NPT
door to door sales representative,door to door salesman,NPT
founder,fiunder,NPT
construction manager,"manager, construction",NPT
help desk specialist,helpdesh,NPT
technical account manager,"manager, technical account",NPT
teaching specialist,teeching,NPT
ambassador,ambasadör,NPT
head of finance,"head, finance",NPT
marketer,matketer,NPT
medical doctor,physacian,NPT
associate product manager,associate manager product,NPT
news anchor,tv anchor,NPT
communicator,cammunicator,NPT
director of development operations,development director operations,NPT
housekeeping specialist,hosekeping,NPT
senior account supervisor,account senior supervisor,NPT
design team specialist,desgin team,NPT
support group manager,group manager support,NPT
flight test engineer,engineer flight test,NPT
traveler,travelure,NPT
director of legislative affairs,"director, legislative affairs",NPT
assistant to human resources director,assistant director human resources to,NPT
messaging specialist,messaging,NPT
director of conference services,conference services director,NPT
project manager accounts payable,account manager payable project,NPT
senior managing partner,managing partner senior,NPT
bank employee,banlking,NPT
learning development officer,development learning officer,NPT
production planning control manager,"manager, production planning control",NPT
system quality assurance engineer,assurance engineer quality system,NPT
website owner,website onwer,NPT
service delivery project manager,"manager, service delivery project",NPT
director of campus ministry,campus director ministry,NPT
day camp counselor,camp counselor day,NPT
human resources counselor,counselor human resources,NPT
junior marketing analyst,analyst junior marketing,NPT
territory account executive,account executive territory,NPT
"wound, ostomy, and continence nurse",wound/ostomy/continence nurse,NPT
cardiovascular intensive care nurse,cardiovascular intensive care rn,NPT
urgent care nurse,urgent care nurse,NPT
correctional nurse,corrections registered nurse,NPT
data science vice president,vice president data science,NPT
supervisor,suparwisr,NPT
supervisor,superisorv,NPT
supervisor,supervsiore,NPT
supervisor,surpervaisor,NPT
secretary,secretwry,NPT
professional,proffessonel,NPT
superintendent,siperontendent,NPT
head of operations,chief operations,NPT
head of unit,heade of unit,NPT
marketer,marekater,NPT
claims adjuster,claim adjuster,NPT
director of financial services,"director, financial services",NPT
director alliances,alliances director,NPT
telemarketing specialist,telemarketng,NPT
senior quality assurance manager,senior qa manager,NPT
civil servant,governmewnt,NPT
housekeeping specialist,houeskeepig,NPT
executive assistant coordinator,assistant coordinator executive,NPT
imaging director,director imaging,NPT
mobile product manager,"manager, mobile product",NPT
head of portfolio management,head management portfolio,NPT
logger,wlogger,NPT
aviator,pilot (aeronautics),NPT
manufacturing engineering intern,manufacturing engineer co-op,NPT
vice president clinical operations,clinical operations president vice,NPT
training documentation manager,"manager, training documentation",NPT
computer laboratory manager,"manager, computer laboratory",NPT
radio frequency planning optimization engineer,engineer frequency optimization planning radio,NPT
director of academic affairs,director academic affairs,NPT
enterprise system administrator,administrator enterprise system,NPT
national promotions manager,manager national promotions,NPT
media production manager,manager media production,NPT
audit project manager,audit manager project,NPT
product line marketing manager,"manager, product line marketing",NPT
mortgage sales manager,"manager, mortgage sales",NPT
associate professor pediatric,associate pediatric professor,NPT
assistant director of undergraduate admissions,admissions assistant director undergraduate,NPT
associate dean for academic affairs,academic affairs associate dean,NPT
product development technologist,development product technologist,NPT
inbound sales representative,inbound representative sales,NPT
principal design director,design director principal,NPT
group supply chain manager,chain group manager supply,NPT
oncology product specialist,product specialist oncology,NPT
regional loss prevention director,director loss prevention regional,NPT
machine learning researcher,deep learning research engineer,NPT
obstetrics and gynecology nurse,obstetrics gynecology bsn,NPT
infusion nurse,intravenous bsn,NPT
hospice and palliative nurse,hospice palliative registered nurse,NPT
urology nurse,urologic registered nurse,NPT
transplant nurse,transplant nurse,NPT
cloud engineer,cloud software engineer,NPT
taxi driver,cab driver,NPT
supervisor,subervisore,NPT
secretary,secratarry,NPT
management,mangeement,NPT
management,manmgement,NPT
professional,profeesinal,NPT
technical advisor,technical adwiswer,NPT
food server,cafeteria food server,NPT
revenue manager,"manager, revenue",NPT
marketer,mariketer,NPT
admissions specialist,admiissions,NPT
animation specialist,animatin,NPT
alliances manager,"manager, alliances",NPT
mediator,medjator,NPT
consultant team lead,consultant lead team,NPT
claims examiner,pip examiner,NPT
vice president supply chain,vp supply chain,NPT
vice president of global sales,international president sales vice,NPT
outreach manager,"manager, outreach",NPT
broadcast manager,"manager, broadcast",NPT
housekeeping specialist,hooseskeeping,NPT
demand planning manager,demand manager planning,NPT
career specialist,career ambassador,NPT
naturalist,natural historian,NPT
director of education services,director education services,NPT
director of web development,"director, web development",NPT
assistant to managing director,managing director assistant,NPT
software product manager,"manager, software product",NPT
head of collections,collections head,NPT
director of user experience,director user experience,NPT
customer quality manager,"manager, customer quality",NPT
script writer,scritpwriter,NPT
director quality compliance,compliance director quality,NPT
certified medical assistant,ccma,NPT
senior legal manager,legal manager senior,NPT
administrative office manager,administrative manager office,NPT
external lecturer,eksternal lecture,NPT
radio frequency test engineer,rf test engineer,NPT
vice president of mortgage lending,"vice president, mortgage lending",NPT
head of internal control,"head, internal control",NPT
help desk intern,helpdesk intern,NPT
receiving associate,recieving accociate,NPT
property project manager,"manager, property project",NPT
information technology operations lead,information lead operations technology,NPT
mixologist,mixocologist,NPT
care project manager,care manager project,NPT
warehouse operator,werhouse opretor,NPT
producing artistic director,artistic director producing,NPT
senior sharepoint consultant,consultant senior sharepoint,NPT
inventory accounting manager,"manager, inventory accounting",NPT
creative graphic designer,creative designer graphic,NPT
investment advisor assistant,advisor assistant investment,NPT
triage nurse,triage nurse,NPT
military nurse,military registered nurse,NPT
pipelayer,pipe layer,NPT
managing director,maniging drictor,NPT
supervisor,supervizr,NPT
supervisor,suyprvisor,NPT
human resources specialist,human  resourse,NPT
freelance,freelancfe,NPT
salesperson,saleesperson,NPT
marketer,marketeiro,NPT
learning and development specialist,learning development specialist,NPT
mental health specialist,mental health professional,NPT
finance operations manager,"manager, finance operations",NPT
director of regulatory affairs,director regulatory affairs,NPT
senior tax accountant,senior specialist tax,NPT
child care specialist,child kare,NPT
civil servant,govetnment,NPT
in-house counsel,in house councel,NPT
housekeeping specialist,huose keeping,NPT
information technology management consultant,it management consultant,NPT
clinical operations manager,"manager, clinical operations",NPT
director of managed care,director managed care,NPT
production team lead,lead production team,NPT
senior validation engineer,engineer senior verification,NPT
mechanical supervisor,mechanicla suprewiser,NPT
psychiatric nurse,psychiatry rn,NPT
vice president fixed income,fixed income president vice,NPT
abstractor,asbstractor,NPT
consulting specialist,consulting,NPT
product line director,director line management product,NPT
on site coordinator,onsite corodinater,NPT
crewman,cureman,NPT
director of dining services,director dining services,NPT
senior documentation specialist,documentation senior specialist,NPT
assistant to the regional manager,regional manager assistant,NPT
cash management consultant,cash consultant management,NPT
head of retail operations,head operations retail,NPT
business banking relationship manager,banking business manager relationship,NPT
back office employee,bakoffice,NPT
coordinator of youth ministry,coordinator ministry youth,NPT
marketing design intern,design intern marketing,NPT
customer service sales specialist,customer service sales,NPT
principal art director,art director principal,NPT
javascript developer,node.js developer,NPT
endoscopy nurse,endoscopy bsn,NPT
cloud engineer,cloud developer,NPT
recruitment agent,recruiting agent,NPT
teacher,schoolmaster,NPT
supervisor,surpvisor,NPT
secretary,sacratari,NPT
unemployed,not employeed,NPT
employee,emoploye,NPT
employee,emploeyee,NPT
communications specialist,cimmunisations,NPT
professional,profesionnal,NPT
superintendent,superintenednet,NPT
compliance specialist,camplinance,NPT
salesperson,salesmam,NPT
vice president of development,"vice president, development",NPT
teaching specialist,eaching,NPT
human resources associate,training and development associate,NPT
adjunct,adajunkt,NPT
information technology support manager,information manager support technical technology,NPT
conductor,conducter,NPT
child care specialist,chlidcare,NPT
special advisor,advisor special,NPT
software support engineer,engineer software support,NPT
assistant financial controller,assistant controller financial,NPT
development support manager,development manager support,NPT
global brand manager,brand global manager,NPT
hydrologist,hydrolofist,NPT
director worldwide marketing,director marketing worldwide,NPT
director of retail marketing,director marketing retail,NPT
health program manager,"manager, health program",NPT
enumerator,enumrater,NPT
quality system coordinator,coordinator quality system,NPT
food and beverage supervisor,f&b team leader,NPT
agency sales manager,agency manager sales,NPT
information communication technology administrator,administrator communication information technology,NPT
microcomputer specialist,micro computer specialist,NPT
knowledge specialist,knowledge,NPT
head of financial control,control financial head,NPT
head of talent management,head management talent,NPT
heating air conditioning designer,air conditioning designer heating,NPT
emergency dispatcher,911 dispatcher,NPT
head of online marketing,head marketing online,NPT
business performance analyst,analyst business performance,NPT
english second language coordinator,esl coordinator,NPT
school board member,board member school,NPT
field support representative,field representative support,NPT
personal training manager,"manager, personal training",NPT
foreign rights manager,"manager, foreign rights",NPT
postpartum nurse,pp registered nurse,NPT
accident and emergency nurse,a&e nurse,NPT
food vendor,hot dog vender,NPT
dental assisting instructor,dental assistant instructor,NPT
